,Season,Tm,log(PER * MP)
158,2017-2018,DET,12.665677195786486
159,2017-2018,GSW,12.777343108912415
160,2017-2018,HOU,12.849063716915298
161,2017-2018,IND,12.78458325888532
162,2017-2018,LAC,12.644840611934052
163,2017-2018,LAL,12.645393862102782
164,2017-2018,MEM,12.490806118775152
165,2017-2018,MIA,12.717093918967619
166,2017-2018,MIL,12.73456451341674
167,2017-2018,MIN,12.86427053182151
168,2017-2018,NOP,12.794591962054493
169,2017-2018,NYK,12.638133452940433
170,2017-2018,OKC,12.796861996019235
171,2017-2018,ORL,12.597983276235231
172,2017-2018,PHI,12.719887435649168
173,2017-2018,PHO,12.485972228455248
174,2017-2018,POR,12.755375622817315
175,2017-2018,SAC,12.625878320722732
176,2017-2018,SAS,12.726084996534233
177,2017-2018,TOR,12.848562375416682
178,2017-2018,UTA,12.71975434645556
179,2017-2018,WAS,12.753355849354387
180,2018-2019,ATL,12.630600289748083
181,2018-2019,BOS,12.783253471274898
182,2018-2019,BRK,12.675882473368164
183,2018-2019,CHI,12.47360462864372
184,2018-2019,CHO,12.708645074523275
185,2018-2019,CLE,12.534259281893824
186,2018-2019,DAL,12.572936218576492
187,2018-2019,DEN,12.795673653216285
188,2018-2019,DET,12.636541569255787
189,2018-2019,GSW,12.828822248961595
190,2018-2019,HOU,12.791259874516903
191,2018-2019,IND,12.74876152339758
192,2018-2019,LAC,12.669765066765994
193,2018-2019,LAL,12.592043790629436
194,2018-2019,MEM,12.46068239886646
195,2018-2019,MIA,12.679236907113435
196,2018-2019,MIL,12.776758028792683
197,2018-2019,MIN,12.706013567034892
198,2018-2019,NOP,12.66729105415353
199,2018-2019,NYK,12.443205154077157
200,2018-2019,OKC,12.755147418782778
201,2018-2019,ORL,12.713531275065854
202,2018-2019,PHI,12.659810351892528
203,2018-2019,PHO,12.593535486794236
204,2018-2019,POR,12.7773411980948
205,2018-2019,SAC,12.704719594806543
206,2018-2019,SAS,12.803971192878617
207,2018-2019,TOR,12.75956839934202
208,2018-2019,UTA,12.730056828405006
209,2018-2019,WAS,12.618211198888597
210,2019-2020,ATL,12.577479063730916
211,2019-2020,BOS,12.55463337543299
212,2019-2020,BRK,12.614849829712504
213,2019-2020,CHI,12.53217243547318
214,2019-2020,CHO,12.61477577081859
215,2019-2020,CLE,12.374205328111826
216,2019-2020,DAL,12.609617315951372
217,2019-2020,DEN,12.6742599660688
218,2019-2020,DET,12.34851387215285
219,2019-2020,GSW,12.583124062996971
220,2019-2020,HOU,12.245957424000757
221,2019-2020,IND,12.651873559705418
222,2019-2020,LAC,12.613730219202187
223,2019-2020,LAL,12.552053190242692
224,2019-2020,MEM,12.60690128595953
225,2019-2020,MIA,12.553182830904909
226,2019-2020,MIL,12.671765698098362
227,2019-2020,MIN,12.523664040719096
228,2019-2020,NOP,12.605348195519383
229,2019-2020,NYK,12.572889198117727
230,2019-2020,OKC,12.278874320102815
231,2019-2020,ORL,12.276192811987148
232,2019-2020,PHI,12.653247166822469
233,2019-2020,PHO,12.662060206648318
234,2019-2020,POR,12.670509771007003
235,2019-2020,SAC,12.57985199890203
